ISO-3166-1-alpha-3,official-fr,usual-fr,usual-en,article-fr
AFG,République islamique d'Afghanistan,Afghanistan,Afghanistan,L'
AGO,République d'Angola,Angola,Angola,L'
ALB,République d'Albanie,Albanie,Albania,L'
AND,Principauté d'Andorre,Andorre,Andorra,
ARE,Émirats Arabes Unis,Émirats Arabes Unis,United Arab Emirates,Les
ARG,République argentine,Argentine,Argentina,L'
ARM,République d'Arménie,Arménie,Armenia,L'
ATG,Antigua-et-Barbuda,Antigua et Barbuda,Antigua and Barbuda,
AUS,Commonwealth d'Australie,Australie,Australia,L'
AUT,République d'Autriche,Autriche,Austria,L'
AZE,République d'Azerbaïdjan,Azerbaïdjan,Azerbaijan,L'
BDI,République du Burundi,Burundi,Burundi,Le
BEL,Royaume de Belgique,Belgique,Belgium,La
BEN,République du Bénin,Bénin,Benin,Le
BFA,Burkina Faso,Burkina Faso,Burkina-Faso,Le
BGD,République populaire du Bangladesh,Bangladesh,Bangladesh,Le
BGR,République de Bulgarie,Bulgarie,Bulgaria,La
BHR,Royaume de Bahrein,Bahrein,Bahrain,Le
BHS,Commonwealth des Bahamas,Bahamas,Bahamas,Les
BIH,République de Bosnie-Herzégovine,Bosnie-Herzégovine,Bosnia-Herzegovina,La
BLR,République de Biélorussie,Biélorussie,Belarus,La
BLZ,Belize,Belize,Belize,Le
BOL,République de Bolivie,Bolivie,Bolivia,La
BRA,République fédérative du Brésil,Brésil,Brazil,Le
BRB,La Barbade,Barbade,Barbados,La
BRN,Negara Brunei Darussalam,Brunei,Brunei,Le
BTN,Royaume du Bhoutan,Bhoutan,Cyprus,Le
BUR,Union de Birmanie,Birmanie,Myanmar,La
BWA,République du Botswana,Botswana,Botswana,Le
CAF,République centrafricaine,République centrafricaine,Central African Republic,La
CAN,Canada,Canada,Canada,Le
CHE,Confédération suisse,Suisse,Switzerland,La
CHL,République du Chili,Chili,Chile,Le
CHN,République populaire de Chine,Chine,China,La
CIV,République de Côte d'Ivoire,Côte d'Ivoire,Côte d’Ivoire,La
CMR,République du Cameroun,Cameroun,Cameroon,Le
COD,République démocratique du Congo,République démocratique du Congo,Democratic Republic of the Congo,La
COG,République du Congo,Congo,Congo,Le
COK,Iles Cook,Iles Cook,Cook Islands,Les
COL,République de Colombie,Colombie,Colombia,La
COM,Union des Comores,Comores,Comoros Islands,Les
CPV,République du Cap-Vert,Cap-Vert,Cabo Verde,Le
CRI,République du Costa-Rica,Costa Rica,Costa Rica,Le
CUB,République de Cuba,Cuba,Cuba,
CYP,République de Chypre,Chypre,Cyprus,
CZE,République tchèque,République tchèque,Czech Republic,La
DEU,République fédérale d'Allemagne,Allemagne,Germany,L'
DJI,République de Djibouti,Djibouti,Djibouti,
DMA,Commonwealth de Dominique,Dominique,Dominica,La
DNK,Royaume du Danemark,Danemark,Denmark,Le
DOM,République dominicaine,République dominicaine,Dominican Republic,La
DZA,République algérienne démocratique et populaire,Algérie,Algeria,L'
ECU,République d'Equateur,Equateur,Ecuador,L'
EGY,République arabe d'Egypte,Egypte,Egypt,L'
ERI,État d'Erythrée,Erythrée,Eritrea,L'
ESP,Royaume d'Espagne,Espagne,Spain,L'
EST,République d'Estonie,Estonie,Estonia,L'
